Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
21/08/15,Malaga,Sevilla,0,0,D,0,0,D,Alfonso Álvarez,25,10,5,2,19,11,7,2,3,3,0,1,3.4,3.4,2.15
22/08/15,Ath Madrid,Las Palmas,1,0,H,1,0,H,Eduardo Prieto,14,8,3,1,11,16,4,4,2,0,0,0,1.2,6.5,15.0
22/08/15,Espanol,Getafe,1,0,H,1,0,H,Jesús Gil,4,14,2,3,19,14,5,6,2,3,0,1,1.91,3.4,4.33
22/08/15,La Coruna,Sociedad,0,0,D,0,0,D,Antonio Matéu Lahoz,15,9,5,2,16,10,5,4,3,2,0,0,2.5,3.2,3.0
22/08/15,Vallecano,Valencia,0,0,D,0,0,D,Alberto Undiano,8,10,3,4,19,11,3,3,3,1,0,0,3.6,3.5,2.05
23/08/15,Ath Bilbao,Barcelona,0,1,A,0,0,D,Carlos del Cerro,8,10,2,4,16,11,2,4,3,3,0,0,6.5,4.33,1.5
23/08/15,Betis,Villarreal,1,1,D,0,1,A,Iñaki Bikandi,22,8,6,4,11,26,7,5,3,1,0,1,2.8,3.25,2.6
23/08/15,Levante,Celta,1,2,A,0,1,A,Ricardo de Burgos,11,15,2,6,12,17,4,6,1,3,1,0,3.6,3.3,2.15
23/08/15,Sp Gijon,Real Madrid,0,0,D,0,0,D,Daniel Ask,6,27,0,8,20,4,2,5,4,0,0,0,13.0,6.5,1.22
24/08/15,Granada,Eibar,1,3,A,0,2,A,Ignacio Iglesias,12,10,6,4,5,23,6,5,1,6,1,0,1.91,3.3,4.5
28/08/15,Villarreal,Espanol,3,1,H,0,1,A,Carlos Velasco,14,4,4,2,10,20,2,3,1,6,0,0,1.57,3.8,6.5
29/08/15,Barcelona,Malaga,1,0,H,0,0,D,Santiago Jaime,22,4,13,1,4,21,15,2,0,3,0,0,1.1,10.0,26.0
29/08/15,Celta,Vallecano,3,0,H,1,0,H,Juan Martínez,11,3,7,0,7,11,5,4,2,2,0,1,1.53,4.33,6.0
29/08/15,Real Madrid,Betis,5,0,H,2,0,H,Alejandro Hernández,21,7,11,1,12,14,11,4,3,3,0,0,1.1,10.0,26.0
29/08/15,Sociedad,Sp Gijon,0,0,D,0,0,D,José Sánchez,12,7,1,2,10,15,6,4,4,5,0,0,1.85,3.5,4.5
30/08/15,Eibar,Ath Bilbao,2,0,H,1,0,H,David Fernández,9,9,8,1,14,13,11,4,2,2,0,0,4.0,3.1,2.1
30/08/15,Getafe,Granada,1,2,A,0,2,A,Eduardo Prieto,16,9,4,4,16,15,6,6,5,3,0,0,2.05,3.2,4.0
30/08/15,Las Palmas,Levante,0,0,D,0,0,D,Pedro Pérez,16,3,2,2,14,21,3,0,2,4,0,0,1.91,3.3,4.5
30/08/15,Sevilla,Ath Madrid,0,3,A,0,1,A,Carlos Clos Gómez,25,17,7,7,17,13,11,1,3,4,0,0,2.8,3.2,2.63
30/08/15,Valencia,La Coruna,1,1,D,1,1,D,José González,12,12,5,3,13,15,5,7,2,1,1,0,1.44,4.33,8.0
11/09/15,Levante,Sevilla,1,1,D,0,1,A,Ignacio Iglesias,14,8,4,3,12,8,5,4,3,3,0,0,4.75,3.75,1.75
12/09/15,Ath Madrid,Barcelona,1,2,A,0,0,D,Antonio Matéu Lahoz,11,13,3,5,17,5,1,10,3,1,0,0,3.3,3.2,2.3
12/09/15,Betis,Sociedad,1,0,H,1,0,H,Alfonso Álvarez,9,15,2,3,12,9,2,4,4,3,1,0,2.3,3.3,3.2
12/09/15,Espanol,Real Madrid,0,6,A,0,4,A,Iñaki Bikandi,14,15,3,8,19,10,5,6,2,2,0,0,10.0,5.0,1.33
12/09/15,Sp Gijon,Valencia,0,1,A,0,0,D,Carlos del Cerro,16,17,8,3,16,11,5,6,3,3,0,0,3.4,3.2,2.25
13/09/15,Ath Bilbao,Getafe,3,1,H,2,0,H,Pedro Pérez,14,11,6,3,12,15,12,5,1,4,0,0,1.57,3.75,7.0
13/09/15,Celta,Las Palmas,3,3,D,2,1,H,Daniel Ask,26,9,12,5,19,14,7,2,0,3,0,1,1.5,4.2,7.0
13/09/15,Granada,Villarreal,1,3,A,0,0,D,Jesús Gil,13,8,2,5,16,21,8,6,2,4,0,0,3.5,3.1,2.25
13/09/15,Malaga,Eibar,0,0,D,0,0,D,Alberto Undiano,10,7,4,0,11,13,7,3,2,4,0,0,1.75,3.5,5.25
14/09/15,Vallecano,La Coruna,1,3,A,1,2,A,Ricardo de Burgos,8,14,2,8,12,10,5,4,2,2,1,0,2.1,3.5,3.5
18/09/15,Getafe,Malaga,1,0,H,1,0,H,José Sánchez,10,13,4,3,18,11,4,7,5,2,0,0,2.6,3.1,2.9
19/09/15,Eibar,Ath Madrid,0,2,A,0,0,D,Alejandro Hernández,9,14,3,6,13,7,1,4,2,1,0,0,7.0,3.75,1.57
19/09/15,Real Madrid,Granada,1,0,H,0,0,D,Juan Martínez,20,12,10,3,9,15,10,1,1,3,0,0,1.06,15.0,26.0
19/09/15,Sociedad,Espanol,2,3,A,1,1,D,Pedro Pérez,10,18,3,6,15,16,7,6,2,3,1,0,2.0,3.4,4.0
19/09/15,Valencia,Betis,0,0,D,0,0,D,Carlos Velasco,22,3,5,1,17,15,7,1,4,2,0,1,1.5,4.33,6.5
20/09/15,Barcelona,Levante,4,1,H,0,0,D,David Fernández,21,11,8,4,8,16,4,4,0,1,0,0,1.06,12.0,29.0
20/09/15,La Coruna,Sp Gijon,2,3,A,2,3,A,Eduardo Prieto,19,4,9,4,11,16,8,3,3,3,0,0,2.05,3.1,4.2
20/09/15,Las Palmas,Vallecano,0,1,A,0,1,A,José González,8,17,2,6,13,19,3,5,3,5,0,0,1.91,3.5,4.0
20/09/15,Sevilla,Celta,1,2,A,0,2,A,Santiago Jaime,13,15,5,5,16,16,5,5,3,5,0,1,1.8,3.75,4.33
20/09/15,Villarreal,Ath Bilbao,3,1,H,1,0,H,Carlos Clos Gómez,14,11,7,2,17,6,9,4,4,4,0,0,2.0,3.5,3.75
22/09/15,Ath Madrid,Getafe,2,0,H,1,0,H,Alfonso Álvarez,12,6,3,2,14,10,6,1,3,2,0,0,1.25,5.5,15.0
22/09/15,Espanol,Valencia,1,0,H,1,0,H,Ignacio Iglesias,17,10,5,4,22,14,7,6,5,7,0,0,3.25,3.25,2.3
22/09/15,Granada,Sociedad,0,3,A,0,2,A,Daniel Ask,11,8,1,5,20,18,4,3,5,4,0,0,2.4,3.1,3.2
23/09/15,Ath Bilbao,Real Madrid,1,2,A,0,1,A,Antonio Matéu Lahoz,11,22,5,6,17,10,6,8,4,3,0,0,5.25,4.2,1.62
23/09/15,Celta,Barcelona,4,1,H,2,0,H,Alberto Undiano,18,18,5,7,19,4,5,10,2,2,0,0,6.5,4.5,1.5
23/09/15,Las Palmas,Sevilla,2,0,H,1,0,H,Carlos del Cerro,12,17,4,3,9,13,5,5,3,4,0,0,3.3,3.4,2.2
23/09/15,Levante,Eibar,2,2,D,0,1,A,Carlos Velasco,12,10,2,4,13,23,4,7,2,5,0,0,2.38,3.1,3.25
23/09/15,Malaga,Villarreal,0,1,A,0,0,D,Ricardo de Burgos,15,9,4,3,18,14,8,5,2,3,0,0,2.63,3.3,2.75
23/09/15,Vallecano,Sp Gijon,2,1,H,1,0,H,Iñaki Bikandi,18,5,6,2,14,17,4,4,2,1,0,1,2.25,3.4,3.2
24/09/15,Betis,La Coruna,1,2,A,0,0,D,Jesús Gil,9,8,2,3,11,22,3,4,3,5,0,0,2.25,3.3,3.3
25/09/15,Valencia,Granada,1,0,H,1,0,H,Carlos Clos Gómez,12,18,5,3,19,20,11,3,3,3,0,0,1.45,4.5,7.5
26/09/15,Barcelona,Las Palmas,2,1,H,1,0,H,Ricardo de Burgos,18,10,6,6,12,23,3,4,2,4,0,0,1.08,11.0,26.0
26/09/15,Eibar,Celta,1,1,D,1,0,H,Pedro Pérez,10,9,3,2,25,16,4,4,5,4,0,0,3.75,3.4,2.05
26/09/15,Real Madrid,Malaga,0,0,D,0,0,D,José González,31,12,9,3,11,10,12,6,4,4,0,1,1.11,10.0,21.0
26/09/15,Sevilla,Vallecano,3,2,H,2,0,H,Alejandro Hernández,17,18,8,5,9,18,6,5,1,2,0,1,1.44,4.75,7.0
26/09/15,Villarreal,Ath Madrid,1,0,H,1,0,H,David Fernández,5,9,2,4,11,15,1,5,2,2,0,0,2.9,3.1,2.6
27/09/15,Getafe,Levante,3,0,H,0,0,D,Santiago Jaime,15,10,8,3,11,10,4,4,2,3,0,0,1.95,3.3,4.2
27/09/15,La Coruna,Espanol,3,0,H,2,0,H,José Sánchez,14,7,5,3,11,11,7,5,4,3,0,1,2.1,3.3,3.75
27/09/15,Sociedad,Ath Bilbao,0,0,D,0,0,D,Carlos Velasco,14,9,4,2,15,19,4,2,3,4,0,0,2.4,3.2,3.0
27/09/15,Sp Gijon,Betis,1,2,A,1,0,H,Juan Martínez,19,13,10,5,11,9,10,4,1,1,0,0,2.3,3.2,3.3
02/10/15,Celta,Getafe,0,0,D,0,0,D,Eduardo Prieto,18,8,7,2,11,18,9,1,1,5,0,0,1.44,4.5,7.5
03/10/15,Espanol,Sp Gijon,1,2,A,0,1,A,Carlos Clos Gómez,13,12,9,2,17,16,9,1,3,3,0,0,2.0,3.3,4.0
03/10/15,Granada,La Coruna,1,1,D,0,1,A,Iñaki Bikandi,10,14,3,3,13,21,2,5,1,3,0,0,2.6,3.2,2.8
03/10/15,Las Palmas,Eibar,0,2,A,0,1,A,Antonio Matéu Lahoz,18,9,4,4,5,16,3,2,2,2,0,0,2.1,3.3,3.75
03/10/15,Malaga,Sociedad,3,1,H,2,1,H,Carlos del Cerro,11,13,7,5,15,16,2,4,3,2,1,0,2.38,3.1,3.3
03/10/15,Sevilla,Barcelona,2,1,H,0,0,D,Jesús Gil,12,28,5,9,16,16,7,9,5,3,0,0,4.0,3.6,1.91
04/10/15,Ath Bilbao,Valencia,3,1,H,1,1,D,Daniel Ask,16,9,7,4,12,9,11,4,0,4,0,0,2.3,3.3,3.2
04/10/15,Ath Madrid,Real Madrid,1,1,D,0,1,A,Alberto Undiano,18,9,4,2,19,12,5,1,6,4,0,0,3.2,3.3,2.3
04/10/15,Levante,Villarreal,1,0,H,0,0,D,Alfonso Álvarez,15,3,5,2,15,17,8,2,4,3,0,1,4.33,3.4,1.91
04/10/15,Vallecano,Betis,0,2,A,0,1,A,Ignacio Iglesias,23,9,9,6,13,14,8,3,4,2,0,0,2.2,3.5,3.2
17/10/15,Barcelona,Vallecano,5,2,H,2,1,H,Pedro Pérez,14,22,9,8,8,15,7,10,1,2,0,0,1.14,9.0,15.0
17/10/15,Betis,Espanol,1,3,A,0,1,A,Ricardo de Burgos,21,13,6,4,18,21,4,3,2,4,0,0,2.0,3.3,4.0
17/10/15,Eibar,Sevilla,1,1,D,1,0,H,Juan Martínez,14,15,4,5,16,9,2,5,3,3,0,0,3.6,3.4,2.1
17/10/15,Real Madrid,Levante,3,0,H,2,0,H,José Sánchez,20,15,6,5,8,10,4,4,1,4,0,0,1.08,12.0,23.0
17/10/15,Valencia,Malaga,3,0,H,2,0,H,Alejandro Hernández,6,10,3,3,18,21,6,8,3,3,0,0,1.62,3.75,6.0
18/10/15,Getafe,Las Palmas,4,0,H,2,0,H,David Fernández,14,16,7,3,18,15,5,1,2,1,0,1,2.15,3.2,3.6
18/10/15,La Coruna,Ath Bilbao,2,2,D,0,1,A,Santiago Jaime,16,7,3,2,8,18,4,6,2,2,0,0,2.7,3.1,2.8
18/10/15,Sociedad,Ath Madrid,0,2,A,0,1,A,Ignacio Iglesias,11,7,1,3,14,11,5,2,4,5,2,0,4.0,3.2,2.05
18/10/15,Villarreal,Celta,1,2,A,0,1,A,José González,12,13,3,2,10,12,7,4,1,3,1,0,2.0,3.5,3.75
19/10/15,Sp Gijon,Granada,3,3,D,1,2,A,Alfonso Álvarez,16,14,6,7,10,13,6,1,3,4,0,2,2.0,3.2,4.2
23/10/15,Vallecano,Espanol,3,0,H,1,0,H,Eduardo Prieto,13,9,7,3,15,11,6,5,2,1,1,1,2.2,3.4,3.2
24/10/15,Celta,Real Madrid,1,3,A,0,2,A,Carlos Clos Gómez,17,14,7,8,17,16,5,7,4,1,1,0,3.8,3.8,1.91
24/10/15,Granada,Betis,1,1,D,1,1,D,Antonio Matéu Lahoz,17,7,7,2,8,11,3,3,3,3,0,0,2.3,3.25,3.25
24/10/15,Malaga,La Coruna,2,0,H,0,0,D,Carlos Velasco,9,10,4,1,11,10,3,5,0,1,0,0,2.25,3.25,3.4
24/10/15,Sevilla,Getafe,5,0,H,2,0,H,Iñaki Bikandi,22,6,13,0,18,15,7,3,1,1,0,1,1.44,4.33,8.0
25/10/15,Ath Madrid,Valencia,2,1,H,2,0,H,Jesús Gil,16,6,8,1,26,10,9,2,4,4,0,0,1.57,3.8,6.5
25/10/15,Barcelona,Eibar,3,1,H,1,1,D,Carlos del Cerro,14,7,5,5,14,18,6,2,3,5,1,0,1.11,10.0,19.0
25/10/15,Las Palmas,Villarreal,0,0,D,0,0,D,Daniel Ask,6,5,2,0,12,14,6,6,1,2,0,0,3.5,3.25,2.2
25/10/15,Levante,Sociedad,0,4,A,0,2,A,Alberto Undiano,13,13,3,6,24,15,10,3,4,3,1,0,2.63,3.2,2.8
26/10/15,Ath Bilbao,Sp Gijon,3,0,H,2,0,H,Ignacio Iglesias,20,6,6,0,8,15,9,3,1,3,0,0,1.53,4.0,7.0
30/10/15,La Coruna,Ath Madrid,1,1,D,0,1,A,Pedro Pérez,7,12,3,3,4,9,1,5,2,0,0,0,5.5,3.4,1.7
31/10/15,Getafe,Barcelona,0,2,A,0,1,A,Juan Martínez,6,14,0,6,10,3,3,5,3,0,0,0,10.0,5.75,1.29
31/10/15,Real Madrid,Las Palmas,3,1,H,3,1,H,Santiago Jaime,17,8,11,5,12,9,6,3,0,3,0,0,1.09,11.0,23.0
31/10/15,Sociedad,Celta,2,3,A,2,1,H,David Fernández,20,16,5,8,9,12,8,7,2,5,0,0,2.7,3.2,2.75
31/10/15,Valencia,Levante,3,0,H,0,0,D,Ricardo de Burgos,13,10,6,5,19,21,5,5,2,3,0,0,1.44,4.5,7.5
31/10/15,Villarreal,Sevilla,2,1,H,1,0,H,José Sánchez,11,6,5,3,17,14,7,5,5,3,0,0,2.25,3.4,3.25
01/11/15,Betis,Ath Bilbao,1,3,A,0,2,A,José González,11,23,3,9,9,13,7,9,2,4,0,0,3.25,3.25,2.3
01/11/15,Eibar,Vallecano,1,0,H,1,0,H,Alfonso Álvarez,12,6,1,2,17,11,2,6,2,3,0,0,2.2,3.4,3.3
01/11/15,Espanol,Granada,1,1,D,0,0,D,Alejandro Hernández,10,9,4,5,16,19,5,6,1,6,1,0,2.0,3.3,4.0
01/11/15,Sp Gijon,Malaga,1,0,H,1,0,H,Antonio Matéu Lahoz,8,13,6,5,11,8,7,5,1,3,0,0,2.38,3.2,3.2
06/11/15,Las Palmas,Sociedad,2,0,H,1,0,H,Carlos Velasco,8,11,4,6,17,14,0,8,1,4,0,0,2.75,3.1,2.75
07/11/15,Celta,Valencia,1,5,A,1,2,A,Iñaki Bikandi,17,9,3,5,16,27,15,5,1,3,0,0,1.85,3.75,4.2
07/11/15,Eibar,Getafe,3,1,H,2,1,H,Ignacio Iglesias,16,10,7,4,13,9,5,7,3,1,0,1,2.1,3.25,3.75
07/11/15,Levante,La Coruna,1,1,D,0,1,A,Carlos del Cerro,15,9,5,5,13,10,9,5,4,2,0,0,2.6,3.1,2.9
07/11/15,Malaga,Betis,0,1,A,0,0,D,Eduardo Prieto,12,7,5,2,16,12,6,3,2,5,0,0,1.95,3.5,4.0
07/11/15,Vallecano,Granada,2,1,H,2,0,H,Jesús Gil,7,8,2,2,15,14,4,1,2,3,1,0,1.95,3.5,4.0
08/11/15,Ath Bilbao,Espanol,2,1,H,1,0,H,Alberto Undiano,8,5,2,1,17,25,4,5,2,6,0,0,1.44,4.5,7.5
08/11/15,Ath Madrid,Sp Gijon,1,0,H,0,0,D,Daniel Ask,15,9,3,2,14,15,5,1,4,3,0,0,1.2,6.5,17.0
08/11/15,Barcelona,Villarreal,3,0,H,0,0,D,Carlos Clos Gómez,20,5,9,2,12,19,7,2,5,3,0,0,1.3,5.5,10.0
08/11/15,Sevilla,Real Madrid,3,2,H,1,1,D,José González,14,28,5,10,13,11,4,6,1,1,0,0,3.6,4.0,1.91
21/11/15,Espanol,Malaga,2,0,H,2,0,H,Juan Martínez,7,14,3,5,20,16,3,8,3,2,0,0,2.4,3.2,3.1
21/11/15,La Coruna,Celta,2,0,H,1,0,H,Alfonso Álvarez,5,6,2,4,16,13,2,10,6,3,0,0,3.3,3.4,2.2
21/11/15,Real Madrid,Barcelona,0,4,A,0,2,A,David Fernández,13,18,7,7,13,10,10,4,3,2,1,0,2.5,3.75,2.8
21/11/15,Sociedad,Sevilla,2,0,H,0,0,D,Antonio Matéu Lahoz,14,12,7,5,6,14,7,5,2,1,0,0,2.63,3.3,2.7
21/11/15,Valencia,Las Palmas,1,1,D,1,0,H,Pedro Pérez,9,18,3,7,22,12,1,8,3,3,0,0,1.44,4.2,7.5
22/11/15,Betis,Ath Madrid,0,1,A,0,1,A,Santiago Jaime,6,11,3,4,12,8,2,6,1,4,0,0,5.5,3.8,1.67
22/11/15,Granada,Ath Bilbao,2,0,H,1,0,H,Carlos del Cerro,8,11,1,6,21,15,2,7,6,3,0,0,3.75,3.3,2.1
22/11/15,Sp Gijon,Levante,0,3,A,0,3,A,Mario Melero,13,13,2,6,15,15,5,3,4,5,0,0,2.2,3.2,3.5
22/11/15,Villarreal,Eibar,1,1,D,0,1,A,Eduardo Prieto,12,17,5,7,8,13,12,6,3,2,0,1,1.53,4.0,7.0
23/11/15,Getafe,Vallecano,1,1,D,0,0,D,Ricardo de Burgos,15,8,8,4,20,15,5,7,5,4,0,0,2.4,3.3,3.0
27/11/15,Levante,Betis,0,1,A,0,1,A,José Sánchez,14,11,1,5,12,15,7,4,6,4,1,1,2.05,3.4,3.75
28/11/15,Ath Madrid,Espanol,1,0,H,1,0,H,Iñaki Bikandi,21,5,6,0,16,26,6,2,0,4,0,0,1.22,6.0,15.0
28/11/15,Barcelona,Sociedad,4,0,H,2,0,H,Ignacio Iglesias,11,10,6,2,11,14,6,4,0,5,0,0,1.07,13.0,23.0
28/11/15,Celta,Sp Gijon,2,1,H,1,0,H,Santiago Jaime,6,9,4,2,14,9,3,5,3,0,0,0,1.4,5.0,7.5
28/11/15,Las Palmas,La Coruna,0,2,A,0,1,A,Carlos Clos Gómez,8,10,5,5,14,13,6,4,4,3,0,0,2.3,3.3,3.2
